College of Idaho Department,Department Code(s)
Anthropology/Sociology,ANSC
Art (including Art and Design),ART
Biology (including Biomedical & Conservation),BIO
Business,BUS
Accounting,ACCT
Chemistry,CHE
Education,EDU
English (including Lit & Creative Writing),ENG
Environmental Studies,ENVST
Health and Human Performance,HHP
History,HIS
Mathematics,MATH
Physics,PHY
Computer Science,CSC
Music,MUS
Philosophy and Religious Studies,PHIL
Political Economy,POE
Psychology,PSY
Spanish,SPA
Theatre,THE
Communication Arts,COMM
